iter	Passed	Remaining
439	51670	29123
440	51768	28995
441	51884	28876
442	52007	28762
443	52128	28647
444	52796	28830
445	52918	28713
446	53159	28661
447	53369	28590
448	53520	28488
449	53632	28365
450	53767	28254
451	53875	28129
452	53999	28012
453	54129	27899
454	54234	27772
455	54355	27654
456	54480	27538
457	54604	27421
458	54769	27325
459	54897	27210
460	55038	27101
461	55217	27011
462	55348	26897
463	55463	26775
464	55584	26656
465	55705	26537
466	55832	26421
467	55969	26310
468	56094	26193
469	56208	26071
470	56347	25960
471	56486	25849
472	56642	25746
473	56846	25664
474	57033	25575
475	57176	25465
476	57319	25355
477	57473	25249
478	57626	25143
479	57803	25048
480	57950	24939
481	58080	24822
482	58229	24714
483	58361	24598
484	58489	24481
485	58602	24357
486	58696	24225
487	58810	24102
488	58919	23977
489	59064	23866
490	59187	23747
491	59305	23625
492	59420	23503
493	59532	23378
494	59634	23251
495	59755	23131
496	59865	23006
497	60001	22892
498	60123	22772
499	60240	22650
500	60360	22529
501	60484	22410
502	60603	22289
503	60705	22162
504	60828	22042
505	60967	21929
506	61081	21806
507	61214	21690
508	61333	21569
509	61585	21494
510	61715	21376
511	61842	21258
512	61947	21132
513	62053	21006
514	62170	20884
515	62435	20811
516	62567	20694
517	62686	20572
518	62815	20454
519	62928	20330
520	63081	20219
521	63204	20099
522	63332	19980
523	63443	19856
524	63578	19739
525	63687	19614
526	63795	19489
527	63913	19367
528	64032	19246
529	64137	19120
530	64259	18999
531	64364	18873
532	64465	18746
533	64592	18627
534	64703	18503
535	64819	18381
536	64935	18259
537	65032	18131
538	65163	18013
539	65289	17894
540	65403	17771
541	65540	17654
542	65653	17531
543	65775	17411
544	65889	17288
545	66003	17165
546	66116	17042
547	66232	16920
548	66347	16798
549	66474	16679
550	66590	16557
551	66714	16436
552	66827	16314
553	66943	16192
554	67052	16068
555	67168	15946
556	67284	15824
557	67409	15704
558	67507	15578
559	67628	15457
560	67730	15333
561	67848	15211
562	67967	15090
563	68118	14976
564	68244	14856
565	68371	14737
566	68483	14614
567	68610	14495
568	68757	14379
569	68883	14260
570	69002	14138
571	69121	14017
572	69244	13897
573	69368	13777
574	69503	13659
575	69624	13538
576	69746	13417
577	69865	13296
578	69971	13172
579	70084	13050
580	70198	12928
581	70323	12808
582	70432	12685
583	70546	12563
584	70654	12439
585	70789	12321
586	70901	12199
587	71015	12077
588	71120	11953
589	71226	11830
590	71343	11709
591	71458	11587
592	71570	11465
593	71680	11343
594	71820	11225
595	71947	11105
596	72064	10984
597	72171	10861
598	72312	10744
599	72428	10622
600	72551	10502
601	72665	10380
602	72791	10260
603	72909	10139
604	73022	10017
605	73142	9897
606	73261	9776
607	73380	9655
608	73508	9535
609	73647	9417
610	73776	9297
611	73885	9175
612	74006	9054
613	74120	8933
614	74230	8811
615	74352	8690
616	74489	8571
617	74591	8448
618	74706	8327
619	74825	8206
620	74939	8085
621	75055	7964
622	75157	7841
623	75268	7719
624	75384	7598
625	75518	7479
626	75640	7358
627	75756	7237
628	75866	7116
629	75977	6994
630	76111	6875
631	76248	6756
632	76368	6635
633	76486	6514
634	76609	6394
635	76753	6275
636	76897	6156
637	77022	6036
638	77140	5915
639	77249	5793
640	77360	5672
641	77453	5549
642	77579	5429
643	77692	5308
644	77843	5189
645	77950	5067
646	78069	4947
647	78199	4827
648	78311	4705
649	78440	4585
650	78536	4463
651	78658	4343
652	78772	4222
653	78882	4100
654	78995	3979
655	79101	3858
656	79213	3737
657	79332	3616
658	79420	3494
659	79544	3374
660	79663	3254
661	79782	3133
662	79923	3013
663	80040	2893
664	80173	2772
665	80306	2652
666	80431	2532
667	80542	2411
668	80645	2290
669	80756	2169
670	80877	2049
671	80998	1928
672	81124	1808
673	81223	1687
674	81349	1566
675	81451	1445
676	81575	1325
677	81707	1205
678	81810	1084
679	81973	964
680	82104	843
681	82196	723
682	82304	602
683	82422	482
684	82527	361
685	82650	240
686	82778	120
687	82879	0
